Id;Label;modularity_class;Year;
out_AmbrusZoltan_MidasKiraly-szec;AmbrusZ_MidasKirály;0;1906;
out_BabitsMihaly_AGolyakalifa-szimb;Babits_AGólyakalifa;0;1920;
out_BabitsMihaly_HalalFiai-szimb;Babits_HalálFiai;1;1927;
out_BabitsMihaly_Kartyavar-szimb;Babits_Kártyavár;1;1923;
out_BabitsMihaly_TimarVirgilFia-szimb;Babits_TimarVirgilFia;1;1922;
out_BalazsBela_MarianneOrszaga-szimb;BalázsB_MarianneOrszága;0;1918;
out_BartaSandor_EgyugyuZahariasAMegvalto-exp;BartaS_EgyügyûZahariás...;2;1922;
out_BrodySandor_Hófehérke;Bródy_Hófehérke;3;1901;
out_BrodySandor_Rembrandt;Bródy_Rembrandt;0;1922;
out_CsathGeza_AVorosEszti-szimb;Csáth_AVörösEszti;0;1908;
out_CsikyGergely_SisyphusMunkaja;Csiky_SisyphusMunkája;1;1892;
out_DeryTibor_KethanguKialtas-exp;DéryTibor_KéthangúKiáltás;5;1922;
out_FüstMilán_FeleségemTörténete;Füst_FeleségemTörténete;0;1942;
out_GárdonyiG_ALáthatatlanEmber;Gárdonyi_ALáthatatlanEmber;4;1902;
out_GárdonyiG_EgriCsillagok;Gárdonyi_EgriCsillagok;4;1900;
out_GardonyiGeza_TeBerkenye-szimb;Gárdonyi_TeBerkenye;4;1913;
out_GelleriAndorEndre_ANagymosoda;GellériAE_ANagymosoda;5;1931;
out_GozsduElek_Köd;Gozsdu_Köd;1;1882;
out_GulacsyIren_FeketeVolegeny-exp;GulácsyI_FeketeVõlegény;2;1927;
out_HerczegFerenc_AzÉletKapuja;HerczegF_AzÉletKapuja;2;1919;
out_HerczegFerenc_SzelekSzárnyán;HerczegF_SzelekSzárnyán;2;1905;
out_Hunyadi_Bakaruhában;Hunyadi_Bakaruhában;4;1935;
out_HunyadySandor_TeliSport;Hunyady_TéliSport;4;1957;
out_IllyesGyula_PusztakNepe;Illyés_PusztákNépe;1;1936;
out_IvanyiOdon_APuspokAtyafisaga;Iványi_APüspökAtyafisága;1;1889;
out_JusthZsigmond_APenzLegendaja;Justh_APénzLegendája;1;1905;
out_KaffkaM_Hangyaboly;Kaffka_Hangyaboly;1;1917;
out_KaffkaMargit_SuppedoTalajon-szimb;Kaffka_SüppedöTalajon;1;1912;
out_KaffkaM_SzínekÉsÉvek-szimb;Kaffka_SzínekÉsÉvek;1;1912;
out_KassakLajos_EgySzegenyLelekMegdicsoulese-exp;Kassák_EgySzegényLélek...;5;1918;
out_KassakLajos_Jatek-exp;Kassák_Játék;5;1916;
out_KassakLajos_KhalabreszCsodalatosPupja-exp;Kassák_Khalabresz...;5;1918;
out_KassakLajos_TragediasFigurak-exp;Kassák_TragédiásFigurák;5;1919;
out_Kodolanyi_Borton;Kodolányi_Börtön;5;1925;
out_Kodolanyi_SzepZsuzska;Kodolányi_SzépZsuzska;5;1925;
out_KodolanyiJanos_Vizozon;Kodolányi_Vízözön;2;1948;
out_Kosztolányi_Aranysárkány;Kosztolányi_Aranysárkány;3;1925;
out_Kosztolányi_ÉdesAnna;Kosztolányi_ÉdesAnna;3;1926;
out_Kosztolányi_NeroAVéres;Kosztolányi_NeroAVéres;3;1921;
out_KrudyGyula_AHirlapiroEsAHalal-szimb;Krúdy_AHírlapíroÉsAHalál;1;1928;
out_KrúdyGy_AVörösPostakocsi-szimb;Krúdy_AVörösPostakocsi;2;1913;
out_KrudyGyula_OsziUtazasokAVoros-szimb;Krúdy_ÕsziUtazások...;2;1917;
out_KrudyGyula_OsziVersenyek-szimb;Krúdy_ÕsziVersenyek;2;1922;
out_LovikKaroly_AzAranyPolgar-real;Lovik_AzAranyPolgár;0;1908;
out_MaloyaiDezso_AzUtolso-szimb;MalonyaiD_AzUtolsó;0;1895;
out_MandyI_ALocsolokocsi;Mándy_ALocsolókocsi;0;1965;
out_MandyI_APalyaSzelen;Mándy_APályaSzélén;0;1963;
out_MandyI_ATrafik;MándyI_ATrafik;4;1979;
out_MáraiS_AGyertyákCsonkig;Márai_AGyertyákCsonkig;3;1942;
out_MoraFerenc_EnekABuzamezokrol-nep;Móra_ÉnekABúzamezõkrõl;0;1927;
out_MóriczZs_Árvácska-real;Móricz_Árvácska;0;1941;
out_MóriczZs_LégyJóMindhalalig-real;Móricz_LégyJóMind...;0;1920;
out_MoriczZsigmond_Pillango-real;Móricz_Pillangó;0;1925;
out_MoriczZsigmond_Tunderkert-real;Móricz_Tündérkert;3;1922;
out_MoriczZsigmond_UriMuri-real;Móricz_ÚriMuri;0;1927;
out_NemethLaszlo_EgetoEszter;NemethL_ÉgetõEszter;0;1947;
out_NémethLászló_Iszony;NémethL_Iszony;0;1956;
out_OttlikGeza_Iskola;Ottlik_Iskola...;0;1959;
out_PeteleiIstvan_EgyAsszonyert;Petelei_EgyAsszonyért;2;1887;
out_PrémJózsef_Félvér;PrémFélvér;1;1893;
out_RákosiJ_ALegnagyobbBolond;RákosiJ_ALegnagyobbBolond;1;1882;
out_SántaF_AzÖtödikPecset;SántaF_AzÖtödikPecsét;0;1963;
out_SántaF_HuszOra;SántaF_HúszÓra;0;1964;
out_SzaboDezso_AzElsodortFalu-exp;SzabóD_AzElsodortFalu;2;1919;
out_SzaboDezso_CsodalatosELet-exp;SzabóD_CsodálatosÉlet;2;1921;
out_SzaboDezso_Feltamadas_makucskan-exp;SzabóD_FeltámadásMakucskán;2;1931;
out_SzaboDezso_Segitseg_exp;SzabóD_Segítség;2;1925;
out_SzomoryDezsõ_APárizsiRegény-szimb;Szomory_APárizsiRegény;1;1929;
out_SzomoryDezso_APekne-szimb;Szomory_APékné;1;1916;
out_SzomoryDezso_AzEletDiadala-szimb;Szomory_AzÉletDiadala;1;1917;
out_SzomoryDezso_UnnepADuhongon-szimb;Szomory_ÜnnepADühöngõn;1;1911;
out_TorokGyula_APorban-real;TörökGy_APorban;0;1911;
out_Tomorkeny_ABujdoso;Tömörkény_ABujdosó;1;1917;
out_TorokGyula_Ikrek;TörökGy_Ikrek;0;1917;
;;;;
